Current projects as at 31 March 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unique HMT Project ID,Project Name,Department,Procuring Authority,Sector,Region,Project Status,Date of OJEU,Date of Prefered Bidder,Date of Financial Close,Date of Construction Completion,First Date of Operations,Operational Period of Contract (years),On/Off Balance Sheet under IFRS,On/Off Balance Sheet under ESA ,On/Off Balance Sheet under UK GAAP,Capital Value (£m),Unitary Charge Payment 1992-93 (£m),Unitary Charge Payment 1993-94 (£m),Unitary Charge Payment 1994-95 (£m),Unitary Charge Payment 1995-96 (£m),Unitary Charge Payment 1996-97 (£m),Unitary Charge Payment 1997-98 (£m),Unitary Charge Payment 1998-99 (£m),Unitary Charge Payment 1999-00 (£m),Unitary Charge Payment 2000-01 (£m),Unitary Charge Payment 2001-02 (£m),Unitary Charge Payment 2002-03 (£m),Unitary Charge Payment 2003-04 (£m),Unitary Charge Payment 2004-05 (£m),Unitary Charge Payment 2005-06 (£m),Unitary Charge Payment 2006-07 (£m),Unitary Charge Payment 2007-08 (£m),Unitary Charge Payment 2008-09 (£m),Unitary Charge Payment 2009-10 (£m),Unitary Charge Payment 2010-11 (£m),Unitary Charge Payment 2011-12 (£m),Unitary Charge Payment 2012-13 (£m),Unitary Charge Payment 2013-14 (£m),Unitary Charge Payment 2014-15 (£m), Unitary Charge Payment 2015-16 (£m),Estimated Unitary Charge Payment 2016-17 (£m),Estimated Unitary Charge Payment 2017-18 (£m),Estimated Unitary Charge Payment 2018-19 (£m),Estimated Unitary Charge Payment 2019-20 (£m),Estimated Unitary Charge Payment 2020-21 (£m),Estimated Unitary Charge Payment 2021-22 (£m),Estimated Unitary Charge Payment 2022-23 (£m),Estimated Unitary Charge Payment 2023-24 (£m),Estimated Unitary Charge Payment 2024-25 (£m),Estimated Unitary Charge Payment 2025-26 (£m),Estimated Unitary Charge Payment 2026-27 (£m),Estimated Unitary Charge Payment 2027-28 (£m),Estimated Unitary Charge Payment 2028-29 (£m),Estimated Unitary Charge Payment 2029-30 (£m),Estimated Unitary Charge Payment 2030-31 (£m),Estimated Unitary Charge Payment 2031-32 (£m),Estimated Unitary Charge Payment 2032-33 (£m),Estimated Unitary Charge Payment 2033-34 (£m),Estimated Unitary Charge Payment 2034-35 (£m),Estimated Unitary Charge Payment 2035-36 (£m),Estimated Unitary Charge Payment 2036-37 (£m),Estimated Unitary Charge Payment 2037-38 (£m),Estimated Unitary Charge Payment 2038-39 (£m),Estimated Unitary Charge Payment 2039-40 (£m),Estimated Unitary Charge Payment 2040-41 (£m),Estimated Unitary Charge Payment 2041-42 (£m),Estimated Unitary Charge Payment 2042-43 (£m),Estimated Unitary Charge Payment 2043-44 (£m),Estimated Unitary Charge Payment 2044-45 (£m),Estimated Unitary Charge Payment 2045-46 (£m),Estimated Unitary Charge Payment 2046-47 (£m),Estimated Unitary Charge Payment 2047-48 (£m),Estimated Unitary Charge Payment 2048-49 (£m),Estimated Unitary Charge Payment 2049-50 (£m),Estimated Unitary Charge Payment 2050-51 (£m),Estimated Unitary Charge Payment 2051-52 (£m),Estimated Unitary Charge Payment 2052-53 (£m),Estimated Unitary Charge Payment 2053-54 (£m),Estimated Unitary Charge Payment 2054-55 (£m),Estimated Unitary Charge Payment 2055-56 (£m),Estimated Unitary Charge Payment 2056-57 (£m),Estimated Unitary Charge Payment 2057-58 (£m),Estimated Unitary Charge Payment 2058-59 (£m),Estimated Unitary Charge Payment 2059-60 (£m),Equity Holder 1: Name,Equity Holder 1: Equity Share (%),Equity Holder 2: Name,Equity Holder 2: Equity Share (%),Equity Holder 3: Name,Equity Holder 3: Equity Share (%),Equity Holder 4: Name,Equity Holder 4: Equity Share (%),Equity Holder 5: Name,Equity Holder 5: Equity Share (%),Equity Holder 6: Name,Equity Holder 6: Equity Share (%) ,SPV Name,SPV Company Number,SPV Address
339,Wansbeck General Hospital (Phase 2),Department of Health ,Northumbria Healthcare NHS Foundation Trust,Hospitals and Acute Health,ENGLAND_North East,InOperation,17-05-1996,01-08-1997,16-11-2000,28-11-2003,28-11-2003,29,ON,Data not provided,OFF,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,wansbeck Healthcare Facilities (Holdings)Ltd,100.0,,,,,,,,,,,Wansbeck Healthcare Facilities Limited,3933053,"100 Wood Street, London EC2V 7EX"
340,Queen's Medical Centre,Department of Health ,Nottingham University Hospitals NHS Trust,Hospitals and Acute Health,ENGLAND_East Midlands,InOperation,15-08-1995,Data not provided,24-05-1999,30-04-2001,01-05-2001,35,ON,Data not provided,OFF,16.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BOS Infrastructure (No 3) Lmited ( Parent Co HBOS),40.0,Clugson PF LTD,40.0,Ideal Cleaning  Services,20.0,,,,,,,Century Health (Nottingham) Limited,3708632,"St Vincent House, Normanby Road, Scunthorpe, North Lincs DN15 8QT"
341,Elderly & Mental Health Units,Department of Health ,Nottinghamshire Healthcare NHS Trust,Hospitals and Acute Health,ENGLAND_East Midlands,InOperation,01-05-1999,01-08-2003,23-12-2004,30-08-2010,30-08-2010,35,ON,OFF,OFF,18.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,5.7,5.8,5.9,5.9,6.0,6.2,6.3,6.5,6.6,6.8,7.0,7.2,7.3,7.5,7.7,7.9,8.1,8.3,8.5,8.7,8.9,9.2,9.4,9.6,9.9,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,James Walker (Leith) Limited,100.0,,,,,,,,,,,Highbury Healthcare Limited,sc251424,"Carriden Sawmills, Carriden Industrial Estate, Bo'ness, West Lothian EH51 9SQ"
342,Orthopaedics/medicine redevelopment at Nuffield Orthopaedic Centre,Department of Health ,Oxford University Hospitals NHS Trust,Hospitals and Acute Health,ENGLAND_South East,InOperation,19-08-1999,Data not provided,20-04-2002,16-05-2008,17-05-2008,32,ON,OFF,OFF,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,7.0,7.0,7.0,8.0,8.0,8.0,9.0,9.0,9.0,9.0,10.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,13.0,13.0,13.0,13.0,14.0,14.0,15.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barclays,25.0,InfraRed,25.0,G4S Joint Ventures Ltd,25.0,Semperian,25.0,,,,,Albion Healthcare (Oxford) Ltd,4277395,"St Martins House, 1 Gresham Street, London EC2V 7BX"
343,Integrated Cancer Centre,Department of Health ,Oxford University Hospitals NHS Trust,Hospitals and Acute Health,ENGLAND_South East,InOperation,18-10-2002,Data not provided,01-12-2005,02-11-2009,23-01-2010,30,ON,OFF,OFF,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,19.0,20.0,23.0,23.0,23.0,23.0,24.0,24.0,25.0,25.0,26.0,27.0,27.0,28.0,29.0,30.0,30.0,31.0,32.0,33.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,40.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Impregilo International Infrastructure NV,40.0,HICL,40.0,G4S Joint Ventures Ltd,20.0,,,,,,,Ochre Solutions Limited,5268375,"85E Centurion Court, Milton Park  Abingdon Oxfordshire OX14 4RY"
344,John Radcliffe Hospital,Department of Health ,Oxford University Hospitals NHS Trust,Hospitals and Acute Health,ENGLAND_South East,InOperation,31-07-2001,Data not provided,19-12-2003,16-12-2006,17-12-2006,30,ON,OFF,OFF,134.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,12.0,24.0,25.0,25.0,26.0,29.0,30.0,31.0,32.0,32.0,33.0,33.0,34.0,35.0,36.0,37.0,38.0,39.0,39.0,40.0,41.0,42.0,43.0,45.0,46.0,47.0,48.0,49.0,50.0,52.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HICL,100.0,,,,,,,,,,,The Hospital Company (Oxford John Radcliffe) Holding Ltd,4868473,"Tubs Hill House, London Road, Sevenoaks, Kent. TN13 1BL"
345,Joint procurement to reprovide mental health services,Department of Health ,Oxleas NHS Foundation Trust,Hospitals and Acute Health,ENGLAND_London,InOperation,29-07-1997,Data not provided,11-12-1998,01-01-1999,01-01-1999,52,ON,Data not provided,ON,25.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,1.8,1.9,1.9,1.9,1.9,1.9,2.2,2.2,2.2,2.3,2.3,2.4,2.5,2.6,2.8,2.1,2.1,2.2,2.2,2.2,2.2,2.2,2.3,2.3,2.3,2.3,2.4,2.4,2.4,1.5,1.6,1.6,1.6,1.6,1.6,1.6,1.7,1.7,1.7,1.7,1.7,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RBIL Limited,100.0,,,,,,,,,,,Bexley PPP Health Services Limited,3567020,"3rd Floor Broad Quay House, Prince Street, Bristol BS1 4DJ"
346,Acute Hospital services,Department of Health ,Peterborough and Stamford Hospitals NHS Foundation,Hospitals and Acute Health,ENGLAND_East,InOperation,19-09-2003,Data not provided,29-06-2007,01-10-2010,02-10-2010,32,ON,Data not provided,OFF,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,40.0,41.0,42.0,43.0,45.0,46.0,48.0,49.0,50.0,50.0,51.0,52.0,53.0,54.0,55.0,56.0,57.0,58.0,58.0,59.0,60.0,61.0,62.0,63.0,65.0,66.0,67.0,68.0,69.0,70.0,71.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Peterborough Hospital Investments Ltd,49.0,JLIF Holdings Ltd,30.0,Macquarie Peterborough Hospital Investments Ltd,21.0,,,,,,,Peterborough (Progress Health) PLC,6054624,"8 White Oak Square, London Road, Swanley, Kent BR8 7AG"
347,Provision of New Residential Respite Care and Day Care Facilities in Portsmouth and Associated Services,Department of Health ,Portsmouth,Social Care,ENGLAND_South West,InOperation,16-06-2000,Data not provided,14-06-2001,14-06-2002,15-06-2002,30,ON,Data not provided,OFF,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1,1.2,1.2,1.2,1.2,1.2,1.3,1.1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,INTERSERVE PLC,100.0,,,,,,,,,,,Victory Support Services (Portsmouth) Ltd,4151453,"Interserve House, Ruscombe Park Twyford, Reading, Berkshire RG10 9JU"
348,Relocation of Acute services,Department of Health ,Portsmouth Hospitals NHS Trust,Hospitals and Acute Health,ENGLAND_South East,InOperation,17-08-2001,Data not provided,15-12-2005,15-06-2010,15-06-2009,32,ON,OFF,OFF,256.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,44.0,45.8,46.3,47.3,48.7,49.4,49.9,51.2,52.5,53.8,55.0,57.0,58.0,59.0,62.0,63.0,65.0,67.0,68.0,70.0,72.0,73.0,75.0,77.0,79.0,81.0,83.0,85.0,87.0,89.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HICL,100.0,,,,,,,,,,,The Hospital Company (QAH Portsmouth) Ltd,5439918,"Tubs Hill House, London Road, Sevenoaks, Kent TN13 1BL"
349,Redcar Primary Care Hospital,Department of Health ,South Tees Hospitals NHS Foundation Trust,Hospitals and Acute Health,ENGLAND_North East,InOperation,14-10-2005,Data not provided,01-04-2008,30-11-2010,01-12-2010,29,ON,ON,OFF,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,4.0,3.8,3.9,4.0,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.9,5.0,5.1,5.2,5.4,5.5,5.6,5.8,5.9,6.1,6.2,6.4,6.5,6.7,6.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sir Robert Macalpine,100.0,,,,,,,,,,,SRM (Redcar & Cleveland) Limited,6445713,"Eaton Court, Maylands Avenue, Hemel Hempstead. Herts HP2 7TR"
350,Hope Hospital,Department of Health ,Salford Royal NHS Foundation Trust,Hospitals and Acute Health,ENGLAND_North West,InOperation,15-05-2003,Data not provided,05-09-2007,02-04-2009,03-04-2009,34,ON,Data not provided,OFF,136.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,6.5,9.6,13.5,14.7,15.2,15.3,15.5,15.8,16.1,16.5,17.0,17.4,17.8,18.3,18.7,19.2,19.7,20.2,20.2,21.2,21.7,22.2,22.8,23.4,24.0,24.6,25.2,25.8,26.5,27.1,27.8,28.5,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Infra red (Infrastructure) Capital Partners as general partners of Infra red infrastructure fund II (20.6.2013 changed),100.0,,,,,,,,,,,Consort Healthcare (Salford) PLC,6165369,"6th Floor, 350 Euston Road, Regents Place, London NW1 3AX"
351,DGH Redevelopment,Department of Health ,Salisbury NHS Foundation Trust,Hospitals and Acute Health,ENGLAND_South West,InOperation,01-08-2002,Data not provided,04-03-2004,01-04-2006,01-04-2006,29,ON,Data not provided,OFF,24.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3i Group plc,100.0,,,,,,,,,,,Salisbury Healthcare Facilities Limited,5372427,"Northwest Wing Bush House, Aldwych, London WC2B 4EZ"
352,Ambulatory Care Centre at City Hospital,Department of Health ,Sandwell and West Birmingham Hospitals NHS Trust,Hospitals and Acute Health,ENGLAND_West Midlands,InOperation,24-11-2000,Data not provided,19-12-2002,30-06-2005,28-07-2005,31,ON,Data not provided,OFF,36.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,3.5,3.6,3.8,3.7,3.8,3.9,4.1,4.3,4.4,4.3,4.5,4.7,4.8,4.9,5.0,5.1,5.3,5.4,5.5,5.7,5.8,6.0,6.1,6.3,6.4,6.6,6.7,6.9,7.1,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Semperian,100.0,,,,,,,,,,,Birmingham Healthcare Services Ltd,4507439,"St Martin's House, 1 Gresham Street, London, EC2 7BX"
353,Medical Ward Block at Northern General Hospital,Department of Health ,Sheffield Teaching Hospitals NHS Foundation Trust,Hospitals and Acute Health,ENGLAND_Yorkshire and the Humber,InOperation,06-06-2003,Data not provided,19-12-2004,24-03-2007,01-04-2007,30,ON,Data not provided,OFF,25.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Hadfield Healthcare Holdings Limited (50% owned by Kajima Partnerships Limited and 50% owned by United Medical Enterprise Investment co Limited),100.0,,,,,,,,,,,Hadfield Healthcare Partnerships Limited,5169193,"55 Baker Street, London W1U 8EW"
354,Modernisation of Acute Services,Department of Health ,Sherwood Forest Hospitals NHS Foundation Trust,Hospitals and Acute Health,ENGLAND_East Midlands,InOperation,10-05-2003,31-08-2004,04-11-2005,31-03-2011,01-04-2011,34,ON,Data not provided,OFF,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,1.1,9.0,13.6,23.5,40.3,43.4,46.7,47.9,48.5,49.2,50.5,52.0,53.7,55.5,57.2,58.7,60.1,61.6,63.2,64.8,66.4,68.0,69.7,71.5,73.3,75.1,77.0,78.9,80.9,82.9,85.0,87.1,89.3,91.5,93.8,96.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Innisfree,100.0,,,,,,,,,,,Central Nottinghamshire Hospitals PLC,5462512,"8 White Oak Square, London Road, Swanley, Kent BR8 7AG"
355,Quality in Community Services (QiCS) PFI,Department of Health ,Shropshire,Social Care,ENGLAND_West Midlands,InOperation,16-09-2003,Data not provided,20-05-2005,28-09-2006,22-04-2006,30,ON,OFF,OFF,22.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.8,2.9,2.9,3.0,3.0,3.1,3.1,3.2,3.2,3.2,3.3,3.3,3.3,3.4,3.4,3.5,3.5,3.6,3.7,3.7,3.8,3.8,3.9,4.0,4.0,4.1,4.2,4.2,4.3,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Equitix,50.0,NIBC Bank,50.0,,,,,,,,,Integrated Care Solutions (Shropshire) Ltd.,5389525,"Victoria House, 101 Victoria Road, Chelmsford, Essex, CM1 1JR"
357,Runwell hospital,Department of Health ,South Essex Partnership University NHS Foundation,Hospitals and Acute Health,ENGLAND_East,InOperation,13-12-2002,Data not provided,05-10-2007,28-08-2009,01-10-2009,31,ON,Data not provided,OFF,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grosvenor PFI Holdings LTD,100.0,,,,,,,,,,,GH Runwell Limited,5892054,"4 Greengate, Cardale Park, Harrogate HG3 1GY"
358,Princess Royal Hospital (Bromley),Department of Health ,King's College Hospital NHS Foundation Trust,Hospitals and Acute Health,ENGLAND_London,InOperation,29-09-1995,Data not provided,19-11-1998,01-01-1999,02-01-1999,30,ON,Data not provided,ON,122.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,27.0,28.0,29.0,30.0,30.0,32.0,33.0,36.0,37.0,39.0,41.0,34.0,35.0,35.7,36.3,37.1,38.0,38.9,39.9,40.9,41.9,43.0,44.1,45.2,46.3,47.5,48.6,49.9,51.1,52.4,53.7,55.0,56.4,57.8,59.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Innisfree,50.0,Semperian,50.0,,,,,,,,,United Healthcare (Bromley) Limited,3591248,"St Martins House, 1 Gresham Steet, London EC2V 7BX"
359,Queen Elizabeth Hospital (Woolwich),Department of Health ,Lewisham,Hospitals and Acute Health,ENGLAND_London,InOperation,01-03-1995,Data not provided,01-07-1998,07-07-1999,17-11-2000,31,ON,Data not provided,ON,96.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,19.0,20.0,20.0,21.0,21.0,22.0,24.0,25.0,25.0,25.0,27.0,28.0,27.0,28.0,29.0,29.0,29.8,30.5,31.3,32.0,32.8,33.7,34.5,35.4,36.3,37.2,38.1,39.0,40.0,23.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Innisfree,72.5,John Laing,27.5,,,,,,,,,Meridian Hospital Company plc,3462569,"8 White Oak Square, London Road, Swanley Kent BR8 7AG"
360,James Cook University Hospital,Department of Health ,South Tees Hospitals NHS Foundation Trust,Hospitals and Acute Health,ENGLAND_North East,InOperation,01-03-1995,Data not provided,16-08-1999,15-07-2003,16-08-2003,31,ON,Data not provided,OFF,121.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,31.0,32.0,34.0,37.0,40.0,39.0,41.0,42.0,44.0,45.0,46.0,46.0,47.0,48.0,50.0,51.0,52.0,53.0,55.0,56.0,57.0,59.0,60.0,62.0,63.0,65.0,67.0,68.0,70.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Innisfree,50.0,Semperian,50.0,,,,,,,,,Endeavour DCH PLC,3672185,"Nightingale House, Whiston Hospital, Warrington Road, Prescot, Merseyside L35 5DR"
361,Brentwood Community Hospital,Department of Health ,Basildon,Hospitals and Acute Health,ENGLAND_East,InOperation,21-04-2004,Data not provided,29-06-2006,30-06-2006,01-07-2006,30,ON,Data not provided,OFF,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,4.0,4.0,4.0,4.3,4.4,4.5,4.7,4.8,4.9,5.0,5.2,5.3,5.4,5.6,5.7,5.9,6.0,6.1,6.3,6.5,6.6,6.8,7.0,7.1,7.3,7.5,7.7,7.9,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Redwood Partnership Ventures 2 Ltd,100.0,,,,,,,,,,,Brentwood Healthcare Partnership Limited ?,5398788,"55 Baker Street, London W1U 8EW"
362,Neurological & cardiac units,Department of Health ,St George's Healthcare NHS Trust,Hospitals and Acute Health,ENGLAND_London,InOperation,20-03-1996,Data not provided,12-03-2000,13-03-2000,14-03-2000,36,ON,Data not provided,OFF,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,8.0,8.0,8.0,8.0,8.0,8.0,9.0,9.0,10.0,10.0,10.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,13.0,13.0,13.0,14.0,14.0,14.0,15.0,15.0,16.0,16.0,16.0,17.0,17.0,18.0,18.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Barclays,100.0,,,,,,,,,,,Blackshaw Healthcare Services Limited,3824177,"100 Wood Street, London EC2V 7EX"
363,Acute Hospital development,Department of Health ,St Helens and Knowsley Hospitals NHS Trust,Hospitals and Acute Health,ENGLAND_North West,InOperation,31-10-2002,Data not provided,01-06-2006,26-09-2008,18-11-2008,42,ON,Data not provided,OFF,338.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,6.0,14.0,36.0,42.0,44.0,46.0,45.0,47.0,49.0,50.0,51.0,52.0,53.0,55.0,56.0,57.0,59.0,60.0,62.0,59.0,60.0,62.0,63.0,65.0,66.0,68.0,69.0,71.0,73.0,75.0,76.0,78.0,80.0,82.0,84.0,86.0,88.0,90.0,93.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Innisfree,1.0,Taylor Woodrow Construction Limited,99.0,,,,,,,,,Newhospitals (St Helens and Knowsley) Limited,5603623,"8 White Oak Square, London Road, Swanley, Kent BR8 7AG"
364,Farnham Hospital,Department of Health ,Hampshire,Hospitals and Acute Health,ENGLAND_South East,InOperation,01-08-1995,Data not provided,29-10-2001,24-09-2003,24-09-2003,29,ON,ON,OFF,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.2,3.3,3.4,3.5,3.5,3.6,3.7,3.8,3.9,4.0,4.1,4.2,4.3,4.4,4.5,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Norwich Union Public Private Partnership Fund,100.0,,,,,,,,,,,NU Local Care Centres (farnham) Limited,4187974,"1 Poultry, LondonEC2R 8EJ"
